Bimp,Bter
BIMP13906,LOC100645587
BIMP16858,
BIMP15194,
BIMP19155,
BIMP13386,LOC105667031
BIMP19862,
BIMP24243,LOC100651557
BIMP20611,LOC100650818
BIMP19313,LOC105665761
BIMP12175,
BIMP16987,LOC100647925
BIMP23015,LOC100651128
BIMP14320,LOC100645067
BIMP10444,LOC100650243
BIMP11225,
BIMP13067,LOC100644797
BIMP13067,LOC100645043
BIMP18838,LOC110119301
BIMP20525,LOC100649685
BIMP24483,LOC100642920
BIMP10755,LOC100652128
BIMP21292,
BIMP11602,
BIMP10605,LOC100647126
BIMP18610,LOC100646279
BIMP22756,LOC100643199
BIMP15295,LOC100648695
BIMP20213,
BIMP13257,LOC100649582
BIMP25237,LOC105665984
BIMP18050,LOC100648626
BIMP13098,LOC100651949
BIMP25698,LOC100647388
BIMP20976,LOC100646306
BIMP23193,LOC100647850
BIMP14022,
BIMP16597,LOC110120084
BIMP20203,
BIMP22989,LOC100645631
BIMP12576,
BIMP21240,LOC100643491
BIMP10920,LOC100648158
BIMP17375,LOC100648606
BIMP23049,LOC100651681
BIMP12657,LOC105667031
BIMP17166,LOC100642855
BIMP21042,LOC110119366
BIMP24223,
BIMP10220,
BIMP23493,LOC100645807
BIMP16348,
BIMP20120,LOC100644220
BIMP20981,LOC100646188
BIMP17295,LOC100644922
BIMP20520,LOC100642718
BIMP22643,LOC100642248
BIMP18640,LOC105667054
BIMP20056,
BIMP23365,
BIMP12935,
BIMP10694,LOC100644181
BIMP12813,LOC100644739
BIMP11797,
BIMP23957,LOC100645706
BIMP16507,LOC100648801
BIMP17953,
BIMP16295,LOC100644418
BIMP17545,LOC100643709
BIMP23204,LOC100643080
BIMP10889,LOC100647522
BIMP10589,LOC100652180
BIMP21412,LOC100650749
BIMP24833,LOC100644656
BIMP17300,LOC100643684
BIMP20551,
BIMP24634,
BIMP20059,LOC100644099
BIMP18123,
BIMP18261,
BIMP20679,LOC100651432
BIMP10741,LOC100645565
BIMP13790,LOC100645737
BIMP21614,LOC100644175
BIMP22828,LOC100645416
BIMP23252,LOC100649016
BIMP10072,LOC100643127
BIMP25445,
BIMP15802,
BIMP14339,
BIMP12566,
BIMP18094,
BIMP16438,LOC100644243
BIMP15692,LOC100646159
BIMP17201,LOC100646990
BIMP13040,LOC100642483
BIMP17104,
BIMP21146,LOC100645916
BIMP12939,
BIMP24293,LOC100647279
BIMP17028,LOC100642749
BIMP12590,LOC105666884
BIMP21247,LOC100644852
BIMP18891,LOC100646655
BIMP14521,LOC100645308
BIMP15971,
BIMP19497,LOC100644501
BIMP23173,LOC100650078
BIMP12422,LOC100645444
BIMP14625,LOC100646567
BIMP20921,
BIMP22399,LOC100643791
BIMP14300,
BIMP14858,
BIMP21661,
BIMP11731,
BIMP15322,LOC100651946
BIMP11130,LOC100642940
BIMP10142,LOC100646177
BIMP15851,LOC100650207
BIMP18464,LOC100649818
BIMP13589,LOC100649497
BIMP24694,LOC100644604
BIMP20823,LOC100651759
BIMP18553,
BIMP14267,LOC100646813
BIMP24641,
BIMP13310,LOC100648754
BIMP20685,LOC100643340
BIMP14407,
BIMP17387,LOC100643624
BIMP12413,
BIMP11462,LOC105667067
BIMP11986,LOC100643659
BIMP19535,LOC100644174
BIMP24104,LOC100645985
BIMP25155,LOC105666997
BIMP11199,
BIMP13027,
BIMP17191,
BIMP16963,LOC100643190
BIMP23748,LOC100644968
BIMP23129,LOC100647338
BIMP25564,
BIMP17174,LOC100644814
BIMP10542,LOC100649981
BIMP15414,LOC100647740
BIMP24162,LOC105666226
BIMP25003,LOC100646048
BIMP22118,LOC100646797
BIMP24790,
BIMP13705,LOC100649062
BIMP17291,LOC100649570
BIMP17732,
BIMP21982,
BIMP17132,LOC100643692
BIMP24991,LOC100650697
BIMP25579,LOC100651236
BIMP21569,LOC100650606
BIMP16475,LOC100651897
BIMP23510,LOC100650054
BIMP21830,LOC100644218
BIMP16803,LOC100649937
BIMP23852,
BIMP25873,LOC100649370
BIMP11166,LOC100651934
BIMP20522,LOC100642835
BIMP20876,
BIMP17041,
BIMP17697,LOC100647390
BIMP15632,LOC100644107
BIMP18490,LOC100643820
BIMP15332,LOC105667083
BIMP17514,LOC100646995
BIMP12374,LOC100651003
BIMP12700,LOC100642747
BIMP11362,LOC110119414
BIMP10161,
BIMP23227,
BIMP12851,LOC100642752
BIMP24928,LOC100643497
BIMP18801,LOC100646207
BIMP13569,LOC100647248
BIMP14014,
BIMP16403,LOC100651397
BIMP11593,
BIMP23472,LOC100648413
BIMP14919,
BIMP16559,LOC100647877
BIMP25103,
BIMP10976,LOC100644360
BIMP13848,LOC100643687
BIMP15176,LOC105665725
BIMP15176,LOC110119186
BIMP14009,
BIMP15503,
BIMP11082,LOC100647117
BIMP19839,
BIMP23379,
BIMP15694,LOC105666592
BIMP15694,LOC100645894
BIMP16900,LOC100644240
BIMP10431,LOC105666904
BIMP12314,LOC100646348
BIMP18427,LOC100646957
BIMP12698,LOC105666217
BIMP17087,LOC100648959
BIMP13117,LOC100648126
BIMP23963,LOC100649048
BIMP12084,LOC100648030
BIMP25324,LOC100651372
BIMP24352,LOC110119881
BIMP17804,LOC100645590
BIMP18219,
BIMP25162,
BIMP21834,LOC100649668
BIMP10293,
BIMP13668,LOC100651327
BIMP13749,LOC100643226
BIMP18172,
BIMP18896,
BIMP19889,
BIMP25300,LOC100648168
BIMP14308,
BIMP11900,LOC100642803
BIMP14741,
BIMP13823,LOC100646777
BIMP19452,LOC100643467
BIMP15203,LOC100648612
BIMP17079,
BIMP21431,LOC100651392
BIMP22050,LOC100646788
BIMP15064,LOC100642257
BIMP16177,LOC100649378
BIMP24423,
BIMP25118,LOC105666631
BIMP19596,LOC100643520
BIMP16029,
BIMP23720,LOC100644762
BIMP13442,
BIMP15006,LOC100649207
BIMP13604,LOC100650283
BIMP13457,LOC100643270
BIMP14871,LOC100645776
BIMP13558,LOC100642552
BIMP24903,LOC100642293
BIMP13388,
BIMP24441,LOC100648241
BIMP16576,
BIMP25242,LOC100644474
BIMP12957,
BIMP24030,
BIMP24321,LOC100642715
BIMP17534,
BIMP15821,
BIMP17517,LOC100647704
BIMP18930,LOC100648433
BIMP10984,LOC100649920
BIMP14011,
BIMP13144,LOC100652188
BIMP22240,LOC100647715
BIMP23270,
BIMP19618,LOC100650431
BIMP14458,LOC100651340
BIMP22613,LOC100652117
BIMP21941,
BIMP20316,LOC100652221
BIMP10176,LOC105665724
BIMP22506,LOC100645684
BIMP11381,
BIMP23415,
BIMP19792,
BIMP17011,LOC100646617
BIMP18623,
BIMP24531,LOC105667203
BIMP21684,LOC100649592
BIMP24600,
BIMP19882,
BIMP24964,
BIMP14278,
BIMP16415,
BIMP18962,LOC100646825
BIMP17655,
BIMP12765,LOC105666505
BIMP14465,LOC100652320
BIMP24465,LOC100649725
BIMP17315,
BIMP12129,
BIMP19020,
BIMP13183,
BIMP10450,LOC100651161
BIMP16583,LOC100646686
BIMP10223,LOC100649188
BIMP25016,
BIMP11907,LOC100649244
BIMP24980,
BIMP12941,
BIMP16726,
BIMP15550,
BIMP13061,LOC100643562
BIMP19016,
BIMP18300,
BIMP22726,LOC100646106
BIMP10067,
BIMP18250,
BIMP12146,
BIMP10937,
BIMP14330,LOC100642311
BIMP13121,LOC100643563
BIMP18362,LOC100647666
BIMP24025,LOC100644227
BIMP23928,LOC100650101
BIMP23859,LOC100647058
BIMP25215,LOC105665791
BIMP11195,
BIMP12773,
BIMP18401,LOC110119724
BIMP20186,
BIMP18270,
BIMP20678,
BIMP24163,LOC100647632
BIMP15284,LOC100649519
BIMP22106,LOC100650251
BIMP25602,LOC100644201
BIMP15486,LOC100643085
BIMP21587,LOC100647069
BIMP17005,
BIMP13962,LOC100649083
BIMP15374,
BIMP17450,LOC100648452
BIMP15896,
BIMP24263,
BIMP11741,
BIMP14177,LOC100651767
BIMP18234,LOC100646043
BIMP22856,LOC100642815
BIMP10119,LOC100651907
BIMP18879,
BIMP11486,
BIMP13580,LOC100650035
BIMP24904,LOC100642413
BIMP23053,
BIMP20198,
BIMP14748,
BIMP12544,
BIMP13651,LOC100650117
BIMP15969,LOC100647044
BIMP11850,
BIMP13771,LOC100645153
BIMP17924,
BIMP21278,LOC100642802
BIMP12138,
BIMP15453,
BIMP19044,
BIMP16741,LOC100645970
BIMP17010,
BIMP23370,LOC110120259
BIMP15916,
BIMP21472,LOC100645389
BIMP21866,LOC100644733
BIMP21089,
BIMP21180,LOC100648832
BIMP21994,
BIMP14262,LOC100649316
BIMP18023,
BIMP24273,LOC100650189
BIMP10049,
BIMP19131,LOC100651696
BIMP13612,LOC100648396
BIMP17460,
BIMP14694,LOC105667177
BIMP16950,LOC100651867
BIMP11669,LOC100651905
BIMP23364,
BIMP25308,LOC100652079
BIMP13000,
BIMP20636,LOC100651254
BIMP12720,LOC100647646
BIMP12720,LOC100648003
BIMP23891,LOC100651315
BIMP17844,
BIMP17033,LOC100651870
BIMP13579,
BIMP10864,
BIMP20661,
BIMP17942,LOC105666726
BIMP17942,LOC105667048
BIMP17942,LOC105666497
BIMP20999,
BIMP18237,LOC100642622
BIMP17218,LOC100651377
BIMP24618,
BIMP25205,LOC100645121
BIMP12447,LOC100650152
BIMP20104,LOC100647587
BIMP12201,
BIMP10217,LOC100650250
BIMP16937,
BIMP13803,LOC100651111
BIMP15667,LOC105666558
BIMP10770,LOC100643700
BIMP15468,LOC100648726
BIMP13831,LOC100645628
BIMP17287,LOC100645747
BIMP11903,LOC100643038
BIMP20051,LOC100648875
BIMP20051,LOC100651183
BIMP12890,
BIMP14332,LOC100642431
BIMP14471,LOC100642615
BIMP21327,LOC100643925
BIMP25501,LOC100644912
BIMP25041,LOC100644393
BIMP25421,LOC100643367
BIMP22737,LOC100648511
BIMP16059,
BIMP16476,
BIMP13600,
BIMP14322,LOC100644587
BIMP25718,
BIMP15256,LOC100645507
BIMP24975,LOC100651049
BIMP18329,LOC100650004
BIMP16833,LOC100645841
BIMP19399,
BIMP11977,
BIMP24674,
BIMP13409,LOC100651629
BIMP13649,LOC100650563
BIMP21082,
BIMP13317,
BIMP13993,
BIMP18213,LOC100643665
BIMP17548,LOC100643462
BIMP10323,LOC100650125
BIMP21456,LOC100647945
BIMP18666,LOC100645146
BIMP10016,LOC105666275
BIMP25293,LOC100647975
BIMP24717,LOC100646342
BIMP18960,LOC100645945
BIMP12800,LOC100645100
BIMP21844,
BIMP19364,
BIMP16852,
BIMP16223,LOC100649213
BIMP20441,LOC100644080
BIMP25725,
BIMP11714,LOC100649720
BIMP15297,LOC100643064
BIMP23715,LOC100646227
BIMP13642,LOC105665921
BIMP16460,LOC100643861
BIMP11011,LOC100648449
BIMP15032,
BIMP19010,
BIMP13290,LOC100645379
BIMP18536,LOC100646787
BIMP15012,LOC105665712
BIMP15908,
BIMP16765,
BIMP18107,
BIMP20828,LOC100649499
BIMP24728,LOC100648277
BIMP23265,
BIMP12612,
BIMP13357,LOC100651645
BIMP10083,LOC100650447
BIMP15243,LOC105666647
BIMP16952,
BIMP18384,LOC100642497
BIMP21304,LOC100643238
BIMP18645,LOC100644467
BIMP22990,LOC100645874
BIMP14737,
BIMP21106,LOC100642610
BIMP14425,LOC100643183
BIMP14503,LOC105666007
BIMP16543,LOC100643912
BIMP10544,LOC100646395
BIMP23172,LOC100649258
BIMP12056,LOC100647941
BIMP10879,
BIMP11618,
BIMP14669,LOC100649502
BIMP10203,LOC100648765
BIMP11001,
BIMP20940,
BIMP10934,
BIMP18642,LOC100643386
BIMP18759,
BIMP24931,LOC100643253
BIMP13400,LOC100647487
BIMP14062,
BIMP20392,LOC105667099
BIMP21598,LOC105667040
BIMP12309,LOC100649144
BIMP17078,
BIMP25260,LOC100644048
BIMP19197,LOC100642532
BIMP19521,LOC100648009
BIMP25776,LOC100642737
BIMP18492,LOC100643252
BIMP20731,LOC100643039
BIMP18295,
BIMP23234,
BIMP13073,LOC100645981
BIMP19863,
BIMP12065,LOC100646678
BIMP17159,LOC100651961
BIMP14224,
BIMP12779,LOC110119859
BIMP12172,
BIMP25019,LOC100647402
BIMP22338,
BIMP20242,LOC100645182
BIMP23405,LOC100651118
BIMP15575,
BIMP23485,
BIMP25630,LOC100644873
BIMP22470,
BIMP20149,LOC100643903
BIMP16213,LOC100647099
BIMP15955,
BIMP11992,LOC100645015
BIMP14166,
BIMP19145,LOC100649941
BIMP12382,LOC100648131
BIMP12762,LOC105666504
BIMP15750,
BIMP15718,
BIMP17441,LOC100648473
BIMP10722,LOC100652008
BIMP25649,LOC100648196
BIMP25675,LOC100649426
BIMP17385,LOC100651613
BIMP11788,LOC105667033
BIMP11788,LOC105666270
BIMP14496,
BIMP10986,
BIMP23682,LOC100650365
BIMP10362,LOC105667086
BIMP16523,LOC100649391
BIMP15799,
BIMP21207,LOC100647304
BIMP10122,
BIMP19247,LOC100642427
BIMP18953,
BIMP25641,LOC100643396
BIMP15047,LOC100651458
BIMP17082,
BIMP21400,
BIMP14916,LOC100652257
BIMP21288,LOC100650759
BIMP18248,
BIMP12681,LOC105666051
BIMP24939,
BIMP24194,LOC100646672
BIMP18599,
BIMP25781,
BIMP20366,LOC100646135
BIMP15052,
BIMP12367,LOC100642755
BIMP12378,LOC100649729
BIMP23733,LOC100647186
BIMP17158,LOC100650970
BIMP25111,LOC100649903
BIMP19954,
BIMP16497,LOC100643298
BIMP16738,
BIMP20702,LOC100643711
BIMP15302,
BIMP12777,LOC100645608
BIMP17002,LOC110119976
BIMP19258,LOC100649122
BIMP19258,LOC110119610
BIMP20886,LOC100642417
BIMP13325,LOC100646113
BIMP13449,
BIMP22196,LOC100650913
BIMP18272,
BIMP10104,
BIMP22589,
BIMP11330,LOC100649678
BIMP22013,LOC100645129
BIMP16775,LOC100650994
BIMP15328,LOC100646598
BIMP22656,LOC100643041
BIMP16802,
BIMP12452,LOC100651323
BIMP16133,LOC100643327
BIMP17552,LOC100644815
BIMP16116,
BIMP19793,
BIMP13841,VSP
BIMP10099,
BIMP22595,
BIMP12410,
BIMP24416,LOC100644668
BIMP20483,LOC100644664
BIMP25159,LOC100645510
BIMP25159,LOC100648041
BIMP25159,LOC105666993
BIMP25159,LOC105666978
BIMP19272,
BIMP14369,LOC100648005
BIMP17212,
BIMP25788,LOC100651556
BIMP23137,LOC100646660
BIMP18359,LOC100647544
BIMP24797,LOC100650086
BIMP18071,LOC100647842
BIMP15214,LOC100650911
BIMP17271,LOC100644246
BIMP23804,LOC100642641
BIMP16208,LOC110119448
BIMP16677,
BIMP19306,LOC100650764
BIMP24234,
BIMP14319,
BIMP22312,LOC100650833
BIMP19134,LOC100651051
BIMP10736,LOC100644648
BIMP17546,LOC105666433
BIMP20173,
BIMP15974,LOC100648580
BIMP15247,LOC100646489
BIMP20959,
BIMP12688,LOC100646402
BIMP22704,
BIMP23941,LOC100651780
BIMP21357,LOC100650480
BIMP24620,
BIMP24140,LOC100651412
BIMP20657,LOC100643840
BIMP10760,LOC100642526
BIMP15290,
BIMP24923,LOC105665617
BIMP17935,LOC100646693
BIMP14172,LOC100650731
BIMP21202,LOC100643977
BIMP10188,LOC100648245
BIMP15549,LOC105666278
BIMP12925,
BIMP17526,
BIMP21330,LOC100642801
BIMP13967,LOC105667132
BIMP20927,
BIMP22824,LOC100645766
BIMP12320,LOC100648520
BIMP11652,LOC100648420
BIMP17910,
BIMP20264,LOC105666770
BIMP16742,LOC100646087
BIMP14054,
BIMP22942,
BIMP14510,LOC100644592
BIMP21382,
BIMP22934,LOC100645245
BIMP21920,LOC100643778
BIMP12455,LOC100651918
BIMP22265,LOC100651828
BIMP18431,LOC100645226
BIMP14139,
BIMP22439,
BIMP24494,LOC100650804
BIMP14464,LOC100651769
BIMP23048,LOC100652118
BIMP17846,LOC100652298
BIMP23033,LOC100645561
BIMP10284,
BIMP17467,LOC100650299
BIMP17947,LOC100651775
BIMP13759,
BIMP17077,
BIMP15684,LOC100644943
BIMP12128,LOC100646996
BIMP17524,
BIMP11261,
BIMP23228,
BIMP13686,LOC100644560
BIMP25452,
BIMP17013,LOC105666963
BIMP13454,LOC110119517
BIMP23341,LOC105666717
BIMP21853,LOC100648108
BIMP17925,LOC100642916
BIMP24471,LOC100651073
BIMP14057,
BIMP21301,LOC100642444
BIMP25145,LOC100645471
BIMP11553,LOC100648786
BIMP24277,
BIMP22738,LOC100648861
BIMP14855,LOC105666524
BIMP11009,LOC105667177
BIMP25132,
BIMP23226,
BIMP15548,
BIMP23623,LOC100646383
BIMP15991,LOC100648187
BIMP24001,
BIMP15721,LOC100649749
BIMP19157,LOC100643173
BIMP18355,LOC100647072
BIMP24749,LOC100645122
BIMP19320,LOC100651322
BIMP13346,
BIMP12737,
BIMP18630,
BIMP23110,LOC100648021
BIMP15122,LOC100642767
BIMP24006,LOC100648048
BIMP23579,LOC105666404
BIMP14354,LOC100643835
BIMP16060,
BIMP13662,LOC100649997
BIMP22413,
BIMP25546,
BIMP18039,LOC100643280
BIMP21627,LOC110119503
BIMP24366,LOC100651462
BIMP17367,
BIMP15158,LOC100646793
BIMP14557,
BIMP21995,
BIMP22586,
BIMP25427,LOC100645757
BIMP21889,LOC100646552
BIMP19913,
BIMP20499,LOC100642428
BIMP18533,LOC100645760
BIMP10901,
BIMP15840,LOC100644065
BIMP16663,
BIMP20233,
BIMP21506,LOC100649548
BIMP11888,
BIMP17139,LOC100648173
BIMP21260,LOC100646057
BIMP16081,LOC100645552
BIMP14159,
BIMP24873,
BIMP15847,LOC100644299
BIMP11819,LOC100649826
BIMP22753,
BIMP20466,LOC100650349
BIMP15244,LOC100646012
BIMP20138,LOC100649107
BIMP22766,LOC100651079
BIMP11300,
BIMP24959,
BIMP10658,LOC100647107
BIMP15410,LOC100648444
BIMP11726,LOC100649242
BIMP19081,
BIMP21035,LOC100648319
BIMP21035,LOC100648436
BIMP10433,LOC105666892
BIMP12389,
BIMP13104,
BIMP15174,
BIMP13209,LOC100642644
BIMP10040,
BIMP15277,LOC100649518
BIMP15277,LOC100651269
BIMP14075,LOC100647551
BIMP15045,LOC100646958
BIMP11460,
BIMP11474,
BIMP20480,LOC100645149
BIMP22036,LOC100643657
BIMP18875,LOC100645944
BIMP23676,LOC100646744
BIMP23642,LOC100651406
BIMP16207,LOC100645247
BIMP21096,LOC100644969
BIMP20288,LOC100647211
BIMP15778,
BIMP18615,
BIMP24426,LOC105666696
BIMP22817,
BIMP16544,LOC100643786
BIMP13308,LOC100649180
BIMP14153,
BIMP15441,LOC100647999
BIMP17185,LOC100647391
BIMP22423,LOC100646628
BIMP24591,
BIMP19026,
BIMP16867,
BIMP22362,LOC100643787
BIMP15577,
BIMP19292,LOC105667177
BIMP22746,LOC100647968
BIMP13365,
BIMP10207,
BIMP12305,LOC100644565
BIMP20543,LOC100649759
BIMP12115,LOC100648069
BIMP11334,
BIMP19334,
BIMP16728,
BIMP22197,LOC100651028
BIMP14501,LOC100644509
BIMP19733,LOC100648183
BIMP12745,LOC100647356
BIMP10506,LOC100643790
BIMP11043,LOC100647342
BIMP16139,LOC100642285
BIMP16436,LOC100648237
BIMP25272,LOC100643245
BIMP17902,LOC100642393
BIMP10263,LOC100645887
BIMP11539,
BIMP25270,LOC100643733
BIMP16322,LOC100648228
BIMP10904,LOC105666717
BIMP17072,
BIMP22296,LOC100645111
BIMP25571,
BIMP18433,LOC100645883
BIMP23719,LOC100645127
BIMP20083,LOC100647816
BIMP25553,LOC105666784
BIMP18382,LOC100651930
BIMP13114,LOC100650029
BIMP15570,
BIMP21725,LOC100651910
BIMP25108,LOC100650863
BIMP25361,LOC100647383
BIMP12849,
BIMP11031,LOC105666776
BIMP21793,
BIMP14610,LOC100651307
BIMP14000,
BIMP11426,
BIMP22695,LOC100651403
BIMP16487,LOC100650377
BIMP25392,
BIMP15666,LOC100650419
BIMP12673,
BIMP24540,
BIMP23770,LOC100651205
BIMP11778,
BIMP14343,LOC100645665
BIMP23416,
BIMP17945,LOC100642819
BIMP14068,
BIMP19133,LOC100649464
BIMP23383,
BIMP23893,LOC100650839
BIMP24778,
BIMP21130,LOC100647743
BIMP25614,LOC100647489
BIMP11152,LOC100646560
BIMP16091,
BIMP20146,
BIMP20589,LOC100644302
BIMP19011,
BIMP16407,LOC100651152
BIMP15150,LOC100645643
BIMP24244,
BIMP15937,LOC100646607
BIMP22495,LOC100645803
BIMP25529,LOC100644321
BIMP11604,
BIMP23854,
BIMP22716,
BIMP12444,LOC100649840
BIMP24078,LOC100643669
BIMP12591,LOC105666885
BIMP12014,LOC100647861
BIMP20469,
BIMP13720,
BIMP23108,LOC100648362
BIMP20419,LOC100652309
BIMP14877,LOC105666519
BIMP18065,
BIMP24181,LOC100651534
BIMP10171,LOC100645751
BIMP10224,LOC100647939
BIMP15146,LOC100647036
BIMP23140,LOC100651446
BIMP12259,LOC100642372
BIMP22719,LOC100645674
BIMP20377,
BIMP21236,LOC100642373
BIMP10875,
BIMP23563,
BIMP22534,
BIMP18130,
BIMP18595,
BIMP23548,
BIMP20840,LOC100642846
BIMP12242,
BIMP13898,LOC100643969
BIMP24951,
BIMP23352,
BIMP23625,LOC100646150
BIMP24666,
BIMP21190,LOC105666149
BIMP19273,LOC100649218
BIMP20088,LOC110120033
BIMP14639,
BIMP24335,
BIMP23246,
BIMP19967,LOC100648960
BIMP10804,LOC100651451
BIMP17175,LOC100645258
BIMP19595,
BIMP23789,LOC100648209
BIMP23222,
BIMP17944,LOC100651817
BIMP24942,
BIMP14693,
BIMP18245,
BIMP21179,LOC100648716
BIMP12280,LOC100645331
BIMP25243,LOC100645618
BIMP19102,LOC100645342
BIMP22332,LOC100644353
BIMP17629,LOC100651584
BIMP10640,LOC100651087
BIMP15202,LOC100648492
BIMP19852,LOC105666284
BIMP22807,
BIMP22397,
BIMP11600,
BIMP25530,LOC100643965
BIMP17336,LOC100650720
BIMP13188,
BIMP14315,LOC100645783
BIMP11849,LOC100648123
BIMP13438,LOC100647405
BIMP21367,LOC100644010
BIMP14952,LOC100642264
BIMP13522,LOC100647171
BIMP13060,LOC100643072
BIMP12818,LOC100646878
BIMP24616,
BIMP14502,LOC100650713
BIMP16285,LOC100646845
BIMP23104,LOC100647971
BIMP21181,LOC100646473
BIMP22701,LOC100643648
BIMP19428,LOC100651022
BIMP19931,
BIMP12838,LOC100650435
BIMP22803,
BIMP13046,LOC100644245
BIMP11197,
BIMP19466,LOC100650580
BIMP14476,
BIMP18387,LOC100644531
BIMP13018,
BIMP24474,LOC100644676
BIMP16972,LOC100644162
BIMP21266,LOC100644166
BIMP17860,LOC100646081
BIMP21300,
BIMP10106,LOC100642741
BIMP25168,
BIMP21023,LOC100645195
BIMP15192,LOC100651027
BIMP11184,LOC100647043
BIMP17815,
BIMP19667,LOC100642263
BIMP19259,LOC100651888
BIMP17279,LOC100646822
BIMP13673,LOC100652040
BIMP13675,LOC100651922
BIMP13540,LOC100645738
BIMP25836,LOC100650237
BIMP11634,
BIMP15276,LOC100651507
BIMP14950,
BIMP25849,LOC100642680
BIMP18403,
BIMP19023,
BIMP24800,
BIMP25847,LOC100646404
BIMP17880,LOC100644274
BIMP20924,
BIMP13804,LOC100643919
BIMP19893,
BIMP14685,LOC100642928
BIMP24331,LOC100642299
BIMP14183,
BIMP13614,LOC100647931
BIMP15488,LOC100643532
BIMP19001,
BIMP25704,LOC100649420
BIMP11354,LOC110120136
BIMP13647,LOC100650884
BIMP10009,
BIMP15884,LOC100642458
BIMP14293,LOC100651863
BIMP24651,
BIMP12830,LOC100648431
BIMP21828,LOC100650974
BIMP12426,
BIMP10324,LOC100650008
BIMP25638,LOC100644001
BIMP22303,LOC100643557
BIMP16023,
BIMP24817,LOC105666396
BIMP24817,LOC100644313
BIMP14776,LOC100648019
BIMP11415,
BIMP18880,LOC100645443
BIMP13053,LOC100647015
BIMP12751,
BIMP23145,LOC100648711
BIMP14971,LOC110119952
BIMP13305,LOC100650650
BIMP10337,LOC100648878
BIMP11013,LOC100647511
BIMP25317,LOC100646830
BIMP12179,
BIMP23439,LOC105666416
BIMP14902,
BIMP10686,LOC100646714
BIMP13667,
BIMP13785,LOC100649757
BIMP24041,
BIMP19990,LOC100645662
BIMP20060,LOC105666316
BIMP15544,
BIMP24664,
BIMP16107,
BIMP23390,LOC100650593
BIMP19554,LOC100648137
BIMP23292,
BIMP17147,LOC105665634
BIMP11278,LOC100649459
BIMP22051,LOC100646666
BIMP21389,
BIMP23479,LOC100651260
BIMP20883,LOC100652013
BIMP15172,LOC100650408
BIMP15113,
BIMP16522,LOC100643865
BIMP13858,LOC100646222
BIMP21274,LOC100651400
BIMP14655,LOC100642692
BIMP11464,
BIMP18187,
BIMP10359,
BIMP19626,LOC100642397
BIMP19641,
BIMP15036,LOC100643088
BIMP19730,
BIMP21423,LOC100649241
BIMP11730,
BIMP22501,
BIMP23021,LOC100648596
BIMP11981,LOC100643169
BIMP10452,LOC100649998
BIMP21475,LOC100644825
BIMP21231,
BIMP22468,
BIMP25394,
BIMP15148,LOC100646187
BIMP22321,LOC100649721
BIMP11532,LOC100645798
BIMP25765,LOC105666360
BIMP10574,
BIMP22300,LOC100644237
BIMP24606,
BIMP10897,LOC100647280
BIMP18605,LOC100647683
BIMP18605,LOC100644585
BIMP11520,LOC100646661
BIMP20086,LOC100644219
BIMP23672,LOC100650846
BIMP20855,
BIMP18824,LOC100644719
BIMP20074,LOC100648528
